workerID, gender, nativeLanguage, income, age, sentenceID, domain, utteredPrice, utteredPriceRounded, utteredType, actualPrice, actualPriceRounded, actualType, probOpinion, order, buyer, 
A3VID10OBZ6FUG, F, English, 4, 35, 8, electric kettle, 1000, 1000, round, 500, 500, round, 0.975, 1, Zach, 
A3VID10OBZ6FUG, F, English, 4, 35, 30, electric kettle, 10000, 10000, round, 9999, 10000, sharp, 0.5, 2, Robert, 
A3VID10OBZ6FUG, F, English, 4, 35, 107, watch, 4997, 5000, sharp, 52, 50, sharp, 0.25, 3, Owen, 
A3VID10OBZ6FUG, F, English, 4, 35, 4, electric kettle, 500, 500, round, 500, 500, round, 0.625, 4, Ivan, 
A3VID10OBZ6FUG, F, English, 4, 35, 131, laptop, 1000, 1000, round, 499, 500, sharp, 0.375, 5, Jake, 
A3VID10OBZ6FUG, F, English, 4, 35, 52, electric kettle, 10002, 10000, sharp, 500, 500, round, 0.35, 6, Quinn, 
A3VID10OBZ6FUG, F, English, 4, 35, 84, watch, 10000, 10000, round, 5000, 5000, round, 0.6, 7, Gary, 
A3VID10OBZ6FUG, F, English, 4, 35, 85, watch, 10000, 10000, round, 10000, 10000, round, 0.85, 8, Daniel, 
A3VID10OBZ6FUG, F, English, 4, 35, 48, electric kettle, 4999, 5000, sharp, 498, 500, sharp, 0.4, 9, Fred, 
A3VID10OBZ6FUG, F, English, 4, 35, 153, laptop, 503, 500, sharp, 50, 50, round, 0.25, 10, Tom, 
A3VID10OBZ6FUG, F, English, 4, 35, 43, electric kettle, 5003, 5000, sharp, 50, 50, round, 0.25, 11, Steve, 
A3VID10OBZ6FUG, F, English, 4, 35, 122, laptop, 50, 50, round, 47, 50, sharp, 0.2, 12, Barry, 
A3VID10OBZ6FUG, F, English, 4, 35, 132, laptop, 1000, 1000, round, 1001, 1000, sharp, 0.4, 13, Patrick, 
A3VID10OBZ6FUG, F, English, 4, 35, 120, watch, 10003, 10000, sharp, 10003, 10000, sharp, 0.75, 14, Kenneth, 
A3VID10OBZ6FUG, F, English, 4, 35, 66, watch, 500, 500, round, 499, 500, sharp, 0.625, 15, Frank, 
A3VID10OBZ6FUG, F, English, 4, 35, 125, laptop, 500, 500, round, 52, 50, sharp, 0.175, 16, Alex, 
A3VID10OBZ6FUG, F, English, 4, 35, 91, watch, 52, 50, sharp, 50, 50, round, 0.375, 17, Ethan, 
A3VID10OBZ6FUG, F, English, 4, 35, 6, electric kettle, 500, 500, round, 499, 500, sharp, 0.65, 18, Victor, 
A3VID10OBZ6FUG, F, English, 4, 35, 28, electric kettle, 10000, 10000, round, 1003, 1000, sharp, 0.275, 19, Albert, 
A3VID10OBZ6FUG, F, English, 4, 35, 36, electric kettle, 503, 500, sharp, 503, 500, sharp, 0.7, 20, George, 
A3VID10OBZ6FUG, F, English, 4, 35, 96, watch, 499, 500, sharp, 499, 500, sharp, 0.725, 21, Matt, 
A3VID10OBZ6FUG, F, English, 4, 35, 15, electric kettle, 5000, 5000, round, 1000, 1000, round, 0.35, 22, Harry, 
A3VID10OBZ6FUG, F, English, 4, 35, 129, laptop, 1000, 1000, round, 1000, 1000, round, 0.725, 23, Nathan, 
A3VID10OBZ6FUG, F, English, 4, 35, 5, electric kettle, 500, 500, round, 53, 50, sharp, 0.25, 24, Charles, 
A3VID10OBZ6FUG, F, English, 4, 35, 116, watch, 9997, 10000, sharp, 47, 50, sharp, 0.15, 25, David, 
A3VID10OBZ6FUG, F, English, 4, 35, 47, electric kettle, 5003, 5000, sharp, 51, 50, sharp, 0.15, 26, Calvin, 
A3VID10OBZ6FUG, F, English, 4, 35, 145, laptop, 10000, 10000, round, 10000, 10000, round, 0.875, 27, Luke, 
A3VID10OBZ6FUG, F, English, 4, 35, 44, electric kettle, 5002, 5000, sharp, 500, 500, round, 0.4, 28, Winston, 
A3VID10OBZ6FUG, F, English, 4, 35, 103, watch, 4997, 5000, sharp, 50, 50, round, 0.225, 29, Eric, 
A3VID10OBZ6FUG, F, English, 4, 35, 19, electric kettle, 5000, 5000, round, 997, 1000, sharp, 0.375, 30, Bob, 
A2Y8CPGC4IJPSK, M, English, 0, 25, 29, electric kettle, 10000, 10000, round, 4999, 5000, sharp, 1, 1, Daniel, 
A2Y8CPGC4IJPSK, M, English, 0, 25, 84, watch, 10000, 10000, round, 5000, 5000, round, 1, 2, Matt, 
A2Y8CPGC4IJPSK, M, English, 0, 25, 53, electric kettle, 10002, 10000, sharp, 1000, 1000, round, 0.725, 3, Tom, 
A2Y8CPGC4IJPSK, M, English, 0, 25, 148, laptop, 10000, 10000, round, 1001, 1000, sharp, 0.725, 4, Patrick, 
A2Y8CPGC4IJPSK, M, English, 0, 25, 64, watch, 500, 500, round, 500, 500, round, 0.75, 5, George, 
