workerid	Answer.buyers	Answer.gender	Answer.affects	Answer.nativeLanguage	Answer.orders	Answer.domains	Answer.income	Answer.inferredPrices0	Answer.inferredPrices1	Answer.inferredPrices2	Answer.inferredPrices3	Answer.inferredPrices4	Answer.inferredPrices5	Answer.inferredPrices6	Answer.inferredPrices7	Answer.inferredPrices8	Answer.inferredPrices9	Answer.age	Answer.sentenceIDs	Answer.numberTypes	Answer.utteredPricesRounded	Answer.utteredPrices
AYEIQ08ZWJX3L	Harry,Matt,Quinn,Steve,David,Calvin,Bob,Zach,Tom,Nathan,Frank,Daniel,Kenneth,Jake,Winston	F	0.75,0.5,0.25,0.75,0.75,0.225,0.25,0.5,0.95,0.75,0.025,0.25,0.25,0.975,0.5	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,watch,watch,watch,electric kettle,electric kettle,electric kettle,laptop,watch,watch,electric kettle,laptop,watch,electric kettle,laptop	4	0.025,0.025,0.05,0.075,0.025,0.025,0.05,0.075,0.025,0.05,0.9,0.025,0.975,0.05,0.05	0.025,0.025,0.05,0.05,0.05,0.05,0.025,0.025,0.05,0.05,0.975,0.05,0.925,0.025,0.025	0.05,0.05,0.025,0.05,0.075,0.025,0.95,0.05,0.025,0.05,0.05,0.9,0.025,0.05,0.975	0.025,0.025,0.975,0.05,0.025,0.025,0.025,0.025,0.025,0.05,0.05,0.975,0.05,0.025,0.925	0.575,1,0.075,0.05,0.075,0.95,0.05,0.975,0.05,0.025,0.025,0.025,0.025,0.05,0.025	0.975,0.025,0.05,0.025,0.05,0.05,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.025	0.025,0.025,0.025,0.05,1,0.05,0.025,0.05,0.025,0.975,0.05,0.025,0.05,0,0	0.025,0,0.025,0.95,0.075,0.025,0.025,0.05,0.05,0.875,0.025,0.05,0.05,0.05,0.025	0.025,0.05,0.025,0.025,0.025,0.075,0.025,0.025,0.85,0,0.025,0.05,0.05,0.925,0.025	0.025,0.025,0.025,0.025,0.025,0.05,0.025,0.05,0.95,0.05,0.025,0.025,0.05,0.975,0.025	25	8,13,17,19,4,3,2,23,20,14,6,27,11,10,22	sharp,round,sharp,sharp,round,round,round,round,sharp,round,sharp,sharp,round,sharp,round	1000,1000,500,5000,5000,1000,500,1000,10000,5000,50,500,50,10000,500	1003,1000,503,5002,5000,1000,500,1000,9998,5000,51,499,50,10002,500
A2Z8F0B2YGRFEY	Zach,George,Albert,Victor,Quinn,Ivan,Jake,Calvin,Ethan,Luke,Frank,Tom,Steve,Eric,Matt	M	0.325,0,0.225,0.65,0.35,0.625,0.65,0.6,0.625,0.625,0.575,0.4,0.55,0.1,0.525	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,electric kettle,laptop,laptop,watch,electric kettle,electric kettle,electric kettle,laptop,watch,electric kettle,watch,watch,electric kettle,watch	6	0,0.7,0.075,0.4,0.4,0.625,0.4,0.5,0.65,0.5,0.575,0.425,0.675,0.575,0.725	0,0.6,0.025,0.575,0.5,0.4,0.55,0.65,0.5,0.5,0.425,0.6,0.7,0.625,0.6	0.775,0.025,0.75,0.5,0.6,0.575,0.5,0.4,0.625,0.65,0.4,0.425,0.575,0.625,0.625	0.95,0.025,0.425,0.5,0.5,0.75,0.45,0.5,0.675,0.2,0.4,0.575,0.575,0.65,0.575	0.325,0.05,0.6,0.4,0.5,0.6,0.6,0.5,0.725,0.7,0.275,0.6,0.5,0.625,0.5	0.25,0.075,0.6,0.4,0.5,0.625,0.625,0.35,0.65,0.625,0.275,0.5,0.5,0.5,0.5	0,0.025,0.275,0.625,0.5,0.5,0.5,0.5,0.725,0.45,0.275,0.4,0.5,0.5,0.5	0.375,0.1,0.3,0.5,0.6,0.65,0.675,0.575,0.825,0.85,0.25,0.55,0.425,0.4,0.475	0.05,0.05,0.25,0.5,0.375,0.325,0.55,0.6,0.65,0.225,0.225,0.575,0.4,0.425,0.375	0.075,0.05,0.125,0.5,0.5,0.2,0.6,0.475,0.475,0.15,0.075,0.425,0.35,0.225,0.1	35	23,7,24,21,17,9,10,3,28,12,6,20,19,5,13	round,sharp,round,round,sharp,sharp,sharp,round,sharp,round,sharp,sharp,sharp,round,round	1000,500,5000,50,500,5000,10000,1000,1000,500,50,10000,5000,10000,1000	1000,503,5000,50,501,5001,9999,1000,999,500,53,10003,4997,10000,1000
AQTXL6NB8MCG1	Gary,Barry,Charles,Robert,Albert,Zach,Kenneth,Alex,Luke,Steve,Fred,Jake,Nathan,Calvin,Matt	F	0.725,0.675,0.55,0.65,0.925,0.525,0.25,0.2,0.575,0.725,0.975,0.25,0.75,0,0.7	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,laptop,laptop,watch,laptop,laptop,watch,electric kettle,watch,watch,laptop,electric kettle,watch,electric kettle,watch	11	0.1,0.1,0.125,0.05,0.025,0.075,0.9,0.975,0.25,0.025,0.175,0.825,0.675,0.85,0.55	0.175,0.075,0.2,0.05,0.05,0.025,0.9,0.925,0.125,0,0.125,0.775,0.65,0.825,0.6	0.5,0.05,0.625,0.05,0.05,0.25,0.15,0.325,1,0.925,0.5,0.075,0.975,0.125,0.725	0.35,0.125,0.5,0.65,0.05,0.45,0.15,0.075,0.975,0.85,0.5,0.05,0.95,0.05,0.75	0.725,0.925,0.7,0.625,0.575,0.975,0.1,0.125,0.375,0,0.75,0.025,0.75,0.025,0.925	0.875,0.85,0.775,0.9,0.5,0.925,0.025,0.025,0.05,0.025,0.85,0.025,0.7,0.025,0.925	0.15,0.375,0.15,0.05,0.825,0.2,0.025,0.075,0.05,0.95,1,0,0.875,0,0.025	0.125,0.375,0.075,0.175,0.8,0.2,0.025,0.05,0.025,0.775,1,0.025,0.675,0.025,0	0.175,0.125,0.075,0.125,0.025,0.125,0,0.1,0.025,0.775,0.025,0,0.05,0.025,0.025	0.15,0.125,0.075,0.15,0.025,0.175,0.025,0.025,0.025,0.025,0.05,0,0,0,0.025	55	30,25,26,18,24,23,11,1,12,19,29,10,14,3,13	sharp,round,sharp,sharp,round,round,round,round,round,sharp,sharp,sharp,round,round,round	10000,10000,50,1000,5000,1000,50,50,500,5000,5000,10000,5000,1000,1000	9997,10000,49,999,5000,1000,50,50,500,5003,4997,10001,5000,1000,1000
AMSGBMFZ5TAPQ	Victor,Kenneth,Tom,Winston,Matt,Nathan,Ivan,Fred,Gary,Ethan,Eric,Calvin,Alex,Robert,Frank	M	0,0.5,1,0.625,0.75,0.95,0.9,0.825,1,0.65,1,0.75,0.45,0.75,0.425	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,watch,watch,laptop,watch,watch,electric kettle,laptop,laptop,laptop,electric kettle,electric kettle,electric kettle,watch,electric kettle	4	0.975,1,0,0,0,0.025,0,0.025,0,0,0,0.025,0.975,0,0.9	0.5,0.75,0,0,0,0.025,0.025,0,0,0,0,0,0.975,0,0.975	0,0,0,1,0,0,0.025,0,0,0,0,0,0.025,0.025,0	0,0,0,0.95,0,0.05,0.025,0,0,0,0,0,0.025,0.025,0	0,0,0,0,1,0.025,0.025,0,0.025,0.85,0,1,0.025,0.9,0	0,0,0,0,0.925,0.025,0,0,0,1,0,0.85,0.025,1,0	0,0,0,0,0,1,0.875,0.875,0.025,0,0,0,0,0,0	0,0,0,0,0,0.975,0.975,1,0.025,0,0,0,0,0,0	0,0,0.25,0,0,0,0.025,0,0.875,0.025,1,0,0.025,0,0	0,0,1,0,0,0,0,0,1,0,0.875,0,0.025,0.025,0	25	21,11,20,22,13,14,9,29,30,28,5,3,1,18,6	round,round,sharp,round,round,round,sharp,sharp,sharp,sharp,round,round,round,sharp,sharp	50,50,10000,500,1000,5000,5000,5000,10000,1000,10000,1000,50,1000,50	50,50,10002,500,1000,5000,4998,4999,10003,1001,10000,1000,50,1003,53
A26P66DP39SQ9A	Ethan,Ivan,Frank,Kenneth,Zach,Robert,George,Calvin,Jake,Steve,Winston,Bob,Eric,Patrick,Alex	M	0.7,1,0.5,0.3,0.5,0.75,0.875,0.725,0.95,0.9,0.375,0.75,1,0.425,0.35	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,electric kettle,electric kettle,watch,laptop,watch,electric kettle,electric kettle,electric kettle,watch,laptop,electric kettle,electric kettle,watch,electric kettle	4	0,0.45,0.5,1,0.025,0.05,0.5,0.5,0.5,0.025,0.025,0.5,0.5,0.5,0.8	0.025,0.5,0.95,0.5,0.025,0,0.475,0.5,0.5,0.025,0,0.5,0.5,0.825,0.7	0.05,0.05,0.05,0.025,0.025,0.05,0.1,0.05,0,0,0.775,0.625,0.025,0.025,0.025	0.05,0.05,0.025,0.025,0.05,0.025,0.975,0.025,0.025,0.025,0.625,0.6,0.025,0,0.025	0.225,0.025,0.025,0.025,0.75,0.575,0,0.775,0,0.025,0,0.025,0.025,0,0	0.925,0.05,0.025,0.025,0.75,0.95,0.025,0.025,0.025,0.025,0,0,0,0.025,0.025	0.025,0.075,0.025,0.025,0,0.025,0.025,0.025,0.025,0,0.025,0.025,0.025,0,0.025	0.025,0.95,0.025,0.025,0.05,0.025,0.025,0,0,0.725,0.025,0.025,0.025,0,0.025	0.025,0,0.025,0.025,0.025,0.025,0.025,0.025,0.5,0,0.025,0.025,0.725,0.025,0	0.025,0,0.025,0.025,0.025,0.025,0.025,0,0.625,0.025,0,0.025,0.725,0,0.025	25	28,9,6,11,23,18,7,3,10,19,22,2,5,16,1	sharp,sharp,sharp,round,round,sharp,sharp,round,sharp,sharp,round,round,round,sharp,round	1000,5000,50,50,1000,1000,500,1000,10000,5000,500,500,10000,50,50	1003,4997,51,50,1000,1001,497,1000,9999,4997,500,500,10000,51,50
ARZOM5UR9E5G0	George,Ethan,Bob,Albert,Charles,Victor,Owen,Jake,Daniel,Eric,Harry,Zach,Fred,Frank,Ivan	F	0.75,0.75,0.75,1,0,0,1,1,0.5,1,1,0.75,1,0.5,1	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,laptop,electric kettle,laptop,laptop,laptop,watch,electric kettle,laptop,electric kettle,electric kettle,laptop,laptop,electric kettle,electric kettle	4	0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0	0,0,0,0,1,0.75,0,0,0,0,0,0,0,1,0	0,0,1,0,0,0,0,0,0.725,0,0,0,0,0,0	1,0,0.5,0,0,0,0,0,1,0,0,0.025,0,0,0	0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0	0,1,0,0,0,0,0,0,0,0,1,0.725,0,0,0	0,0,0,1,0,0,0,0,0,0,0,0,0.7,0,0.75	0,0,0,0.775,0,0,0,0,0,0,0,0,1,0,1	0,0,0,0,0,0,1,0.525,0,1,0,0,0,0,0	0,0,0,0,0,0,0.75,1,0,0.775,0,0,0,0,0	35	7,28,2,24,26,21,15,10,27,5,8,23,29,6,9	sharp,sharp,round,round,sharp,round,round,sharp,sharp,round,sharp,round,sharp,sharp,sharp	500,1000,500,5000,50,50,10000,10000,500,10000,1000,1000,5000,50,5000	501,1001,500,5000,48,50,10000,9997,499,10000,997,1000,4999,52,5002
A3G3LOU9P9P60N	Zach,Harry,Tom,Alex,Daniel,Matt,Ethan,George,David,Barry,Owen,Albert,Eric,Quinn,Nathan	M	0.875,0.1,0.5,0.875,0.75,0.675,0.825,0.3,0.025,0.1,0.375,0.225,0,0.675,0.675	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,electric kettle,watch,electric kettle,laptop,watch,laptop,electric kettle,electric kettle,laptop,watch,laptop,electric kettle,watch,watch	4	0,1,0.75,1,0,0.775,0,0.875,0.775,0,0.825,0,0.95,0.875,0.875	0,0.975,0.75,1,0,0.8,0,0.95,0.8,0,0.8,0,0.9,0.875,0.9	0.55,0,0.75,0,0.8,0.775,0.75,0.325,0.275,0.725,0.825,0.775,0.275,0.875,0.875	0.525,0,0.75,0,0.85,0.775,0.75,0.3,0.275,0.725,0.825,0.8,0.25,0.875,0.875	0.925,0,0.75,0,0.8,0.775,0.85,0,0,0.875,0.8,0.8,0,0.775,0.825	0.925,0,0.75,0,0.8,0.825,0.825,0,0,0.875,0.775,0.85,0,0.775,0.85	0,0,0.75,0,0.275,0.825,0.45,0,0,0.3,0.825,0.275,0,0.575,0.6	0,0,0.575,0,0.25,0.8,0.375,0,0,0.275,0.85,0.25,0,0.525,0.575	0,0,0.325,0,0.025,0.45,0,0,0,0,0.4,0,0,0.325,0.275	0,0,0.3,0,0,0.45,0,0,0,0,0.4,0,0,0.275,0.2	25	23,8,20,1,27,13,28,7,4,25,15,24,5,17,14	round,sharp,sharp,round,sharp,round,sharp,sharp,round,round,round,round,round,sharp,round	1000,1000,10000,50,500,1000,1000,500,5000,10000,10000,5000,10000,500,5000	1000,1002,10002,50,498,1000,998,498,5000,10000,10000,5000,10000,499,5000
A1LX3YP9PCKI72	Quinn,Steve,Daniel,Fred,Albert,Matt,Robert,George,Zach,Tom,Owen,Charles,Gary,Victor,Barry	M	1,1,0.75,1,1,1,0.975,0.975,0.65,1,1,0,1,0,0.975	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	watch,watch,laptop,laptop,laptop,watch,watch,electric kettle,laptop,watch,watch,laptop,laptop,laptop,laptop	4	0,0,0,0.025,0.025,0,0.025,0.025,0.025,0.025,0.025,0.975,0.025,0.975,0.025	0,0,0,0.05,0.05,0,0.025,0.025,0.025,0.05,0.025,0.975,0.025,0.975,0.025	1,0,1,0.025,0.025,0.025,0,0.975,0.05,0.025,0.025,0.025,0.025,0,0.025	0.975,0,0.975,0.025,0,0.025,0.025,0.975,0.025,0.025,0.025,0.05,0.025,0.025,0.025	0,0,0,0.025,0,0.95,0.975,0.025,0.975,0.025,0.05,0.025,0.025,0.05,0	0,0,0,0.025,0,0.975,0.975,0.05,0.95,0.05,0.05,0.025,0.05,0.025,0.025	0,1,0,0.975,0.975,0.05,0.025,0.05,0.05,0.025,0.025,0.025,0.05,0.025,0.05	0,1,0,0.95,0.975,0.025,0.025,0.05,0.05,0.025,0.025,0.025,0.05,0.025,0.025	0,0,0,0.025,0.025,0.025,0.025,0.025,0.05,0.975,0.975,0.025,1,0.025,0.975	0,0,0,0.025,0.025,0.05,0.025,0.025,0.05,0.95,0.975,0.025,1,0.025,0.975	35	17,19,27,29,24,13,18,7,23,20,15,26,30,21,25	sharp,sharp,sharp,sharp,round,round,sharp,sharp,round,sharp,round,sharp,sharp,round,round	500,5000,500,5000,5000,1000,1000,500,1000,10000,10000,50,10000,50,10000	499,4999,503,5003,5000,1000,997,499,1000,9997,10000,51,9997,50,10000
A2BH0SKH37R2VL	Daniel,Barry,Harry,Luke,Ethan,Jake,Matt,Bob,Owen,Robert,Charles,Frank,David,Victor,Winston	M	0.85,1,0.75,0.875,0.925,0.975,0.925,0.75,1,0.85,0.275,0.5,0.625,0.4,0.75	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	laptop,laptop,electric kettle,watch,laptop,electric kettle,watch,electric kettle,watch,watch,laptop,electric kettle,electric kettle,laptop,laptop	4	0,0,0,0,0,0,0,0,0,0,0.025,0.85,0.025,0.75,0	0,0,0,0,0.025,0.025,0,0,0,0.025,0.025,0.925,0,0.275,0.025	1,0.575,0.525,0.9,0,0.025,0,1,1,0,0.825,0,0.825,0.225,1	0,0.625,0.575,0.8,0,0.025,0.025,0.875,0.925,0,0.825,0,0.825,0.225,0.7	0,0.875,0.875,0.1,0.8,0.025,1,0.025,0,1,0.025,0,0,0,0.025	0,0.75,0.75,0.075,1,0.025,0.025,0.025,0.025,0.725,0.025,0.025,0,0,0.025	0,0,0.175,0,0,0.025,0,0.025,0.025,0.025,0,0.025,0.5,0.025,0.025	0,0,0.175,0,0,0.025,0.025,0,0.025,0.025,0,0.025,0,0.025,0.025	0,0,0,0,0,0.6,0.025,0,0,0.025,0.025,0.025,0.025,0,0	0,0,0,0,0,1,0.025,0,0.025,0,0.025,0.025,0.025,0,0.025	35	27,25,8,12,28,10,13,2,15,18,26,6,4,21,22	sharp,round,sharp,round,sharp,sharp,round,round,round,sharp,sharp,sharp,round,round,round	500,10000,1000,500,1000,10000,1000,500,10000,1000,50,50,5000,50,500	502,10000,998,500,998,9997,1000,500,10000,1001,47,53,5000,50,500
A61GHYNS1DFT7	Alex,Nathan,Victor,Gary,Daniel,Robert,Calvin,Quinn,Tom,Owen,Jake,Albert,Winston,Kenneth,Ethan	M	0.825,1,0.2,1,0.425,0.875,1,0.825,1,1,1,0.975,0.625,0.5,0.625	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	electric kettle,watch,laptop,laptop,laptop,watch,electric kettle,watch,watch,watch,electric kettle,laptop,laptop,watch,laptop	4	1,0,0.975,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0.025,0.975,0.025	0.5,0,0.75,0.025,0.025,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.9,0.025	0,0,0,0.025,0.3,0.025,0,0.275,0.025,0.05,0.025,0.025,0.925,0,0.125	0,0,0.025,0.025,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0,0.9,0,0.1	0,0,0,0.025,0.025,0.5,0.975,0.025,0,0.025,0.025,0.1,0.025,0,0.6	0,0,0.025,0.025,0.025,0.975,0.875,0.025,0.025,0.025,0.025,0.125,0.025,0,0.975	0,1,0.025,0.025,0.025,0.025,0,0.025,0.075,0.125,0.1,0.675,0.025,0,0.025	0,1,0.025,0.025,0.025,0.025,0.025,0.025,0.075,0.125,0.075,0.925,0.025,0.025,0.025	0.025,0,0.025,0.45,0.025,0.025,0.025,0.025,0.25,0.975,0.75,0,0,0.025,0.025	0,0,0.025,1,0.025,0.025,0.025,0,1,0.75,0.975,0.025,0.025,0,0.025	25	1,14,21,30,27,18,3,17,20,15,10,24,22,11,28	round,round,round,sharp,sharp,sharp,round,sharp,sharp,round,sharp,round,round,round,sharp	50,5000,50,10000,500,1000,1000,500,10000,10000,10000,5000,500,50,1000	50,5000,50,9998,502,1001,1000,501,9997,10000,10001,5000,500,50,1001
